source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_hq_date,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMO BON AAOT Wasop2 210622 10um_1,EMOBON metagenome water sample from station AAOT collected on 2021-06-22 size fraction 20-2000um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-22 00:00:00,AAOT_Wa_210622,Mauro Bastianini,0000-0001-6758-4192,high_tide,15,1,NA,1.5,20-2000,2000,20,N,Phytoplankton net,WaSOP 2,NA,2021-06-22 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210622_20um_1
EMO BON AAOT Wasop2 210622 10um_2,EMOBON metagenome water sample from station AAOT collected on 2021-06-22 size fraction 20-2000um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-22 00:00:00,AAOT_Wa_210622,Mauro Bastianini,0000-0001-6758-4192,high_tide,15,2,NA,1.5,20-2000,2000,20,N,Phytoplankton net,WaSOP 2,NA,2021-06-22 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210622_20um_2
EMO BON AAOT Wasop2 210622 10um_3,EMOBON metagenome water sample from station AAOT collected on 2021-06-22 size fraction 20-2000um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-22 00:00:00,AAOT_Wa_210622,Mauro Bastianini,0000-0001-6758-4192,high_tide,15,3,NA,1.5,20-2000,2000,20,N,Phytoplankton net,WaSOP 2,NA,2021-06-22 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210622_20um_3
EMO BON AAOT Wasop2 210622 10um_4,EMOBON metagenome water sample from station AAOT collected on 2021-06-22 size fraction 20-2000um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-22 00:00:00,AAOT_Wa_210622,Mauro Bastianini,0000-0001-6758-4192,high_tide,15,4,NA,1.5,20-2000,2000,20,N,Phytoplankton net,WaSOP 2,NA,2021-06-22 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210622_20um_4
EMO BON AAOT Wasop2 210622 10um_BLANK,EMOBON metagenome water sample from station AAOT collected on 2021-06-22 size fraction 20-2000um,32644,unidentified,metagenome,MilliQ water [ENVO:00003065],2021-06-22 00:00:00,AAOT_Wa_210622,Mauro Bastianini,0000-0001-6758-4192,high_tide,15,blank,NA,1.5,20-2000,2000,20,N,Phytoplankton net,WaSOP 2,NA,2021-06-22 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210622_20um_blank
EMO BON AAOT Wasop3 210622 10um_1,EMOBON metagenome water sample from station AAOT collected on 2021-06-22 size fraction 200-2000um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-22 00:00:00,AAOT_Wa_210622,Mauro Bastianini,0000-0001-6758-4192,high_tide,12,1,2830,1.5,200-2000,2000,200,N,WP2,WaSOP 3,NA,2021-06-22 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210622_200um_1
EMO BON AAOT Wasop3 210622 10um_2,EMOBON metagenome water sample from station AAOT collected on 2021-06-22 size fraction 200-2000um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-22 00:00:00,AAOT_Wa_210622,Mauro Bastianini,0000-0001-6758-4192,high_tide,12,2,2830,1.5,200-2000,2000,200,N,WP2,WaSOP 3,NA,2021-06-22 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210622_200um_2
EMO BON AAOT Wasop3 210622 10um_3,EMOBON metagenome water sample from station AAOT collected on 2021-06-22 size fraction 200-2000um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-22 00:00:00,AAOT_Wa_210622,Mauro Bastianini,0000-0001-6758-4192,high_tide,12,3,2830,1.5,200-2000,2000,200,N,WP2,WaSOP 3,NA,2021-06-22 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210622_200um_3
EMO BON AAOT Wasop3 210622 10um_4,EMOBON metagenome water sample from station AAOT collected on 2021-06-22 size fraction 200-2000um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-22 00:00:00,AAOT_Wa_210622,Mauro Bastianini,0000-0001-6758-4192,high_tide,12,4,2830,1.5,200-2000,2000,200,N,WP2,WaSOP 3,NA,2021-06-22 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210622_200um_4
EMO BON AAOT Wasop3 210622 10um_BLANK,EMOBON metagenome water sample from station AAOT collected on 2021-06-22 size fraction 200-2000um,32644,unidentified,metagenome,MilliQ water [ENVO:00003065],2021-06-22 00:00:00,AAOT_Wa_210622,Mauro Bastianini,0000-0001-6758-4192,high_tide,12,blank,NA,1.5,200-2000,2000,200,N,WP2,WaSOP 3,NA,2021-06-22 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210622_200um_blank
EMO BON AAOT Wa 210809 3um_1,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,1,1,5,1.5,3-200,200,3,Y,Niskin,WaSOP 1,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 2",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,N,2021-10-11 00:00:00,2021-10-14 00:00:00,-70,2021-11-24 00:00:00,2021-11-24 00:00:00,T,low yields; seq library prep failed,NA,EMOBON_AAOT_Wa_210809_3um_1
EMO BON AAOT Wa 210809 3um_2,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,1,2,5,1.5,3-200,200,3,Y,Niskin,WaSOP 1,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 2",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,N,2021-10-11 00:00:00,2021-10-14 00:00:00,-70,2021-11-24 00:00:00,2021-11-24 00:00:00,F,NA,NA,EMOBON_AAOT_Wa_210809_3um_2
EMO BON AAOT Wa 210809 3um_3,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,1,3,5,1.5,3-200,200,3,Y,Niskin,WaSOP 1,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 2",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210809_3um_3
EMO BON AAOT Wa 210809 3um_4,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,1,4,5,1.5,3-200,200,3,Y,Niskin,WaSOP 1,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 2",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210809_3um_4
EMO BON AAOT Wa 210809 3um_BLANK,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 3-200um,32644,unidentified,metagenome,MilliQ water [ENVO:00003065],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,1,blank,5,1.5,3-200,200,3,Y,Niskin,WaSOP 1,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 2",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210809_3um_blank
EMO BON AAOT Wa 210809 0.22um_1,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,1,1,5,1.5,0.2-3,3,0.2,Y,Niskin,WaSOP 1,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 2",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,N,2021-10-11 00:00:00,2021-10-14 00:00:00,-70,2021-11-24 00:00:00,2021-11-24 00:00:00,F,NA,NA,EMOBON_AAOT_Wa_210809_0.2um_1
EMO BON AAOT Wa 210809 0.22um_2,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,1,2,5,1.5,0.2-3,3,0.2,Y,Niskin,WaSOP 1,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 2",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,N,2021-10-11 00:00:00,2021-10-14 00:00:00,-70,2021-11-24 00:00:00,2021-11-24 00:00:00,F,NA,NA,EMOBON_AAOT_Wa_210809_0.2um_2
EMO BON AAOT Wa 210809 0.22um_3,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,1,3,5,1.5,0.2-3,3,0.2,Y,Niskin,WaSOP 1,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 2",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210809_0.2um_3
EMO BON AAOT Wa 210809 0.22um_4,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,1,4,5,1.5,0.2-3,3,0.2,Y,Niskin,WaSOP 1,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 2",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210809_0.2um_4
EMO BON AAOT Wa 210809 0.22um_BLANK,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 0.2-3um,32644,unidentified,metagenome,MilliQ water [ENVO:00003065],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,1,blank,5,1.5,0.2-3,3,0.2,Y,Niskin,WaSOP 1,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 2",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210809_0.2um_blank
EMO BON AAOT Wasop2 210809 10um_1,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 20-2000um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,15,1,NA,1.5,20-2000,2000,20,N,Phytoplankton net,WaSOP 2,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210809_20um_1
EMO BON AAOT Wasop2 210809 10um_2,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 20-2000um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,15,2,NA,1.5,20-2000,2000,20,N,Phytoplankton net,WaSOP 2,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210809_20um_2
EMO BON AAOT Wasop2 210809 10um_3,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 20-2000um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,15,3,NA,1.5,20-2000,2000,20,N,Phytoplankton net,WaSOP 2,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210809_20um_3
EMO BON AAOT Wasop2 210809 10um_4,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 20-2000um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,15,4,NA,1.5,20-2000,2000,20,N,Phytoplankton net,WaSOP 2,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210809_20um_4
EMO BON AAOT Wasop2 210809 10um_BLANK,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 20-2000um,32644,unidentified,metagenome,MilliQ water [ENVO:00003065],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,15,blank,NA,1.5,20-2000,2000,20,N,Phytoplankton net,WaSOP 2,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210809_20um_blank
EMO BON AAOT Wasop3 210809 10um_1,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 200-2000um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,12,1,2440,1.5,200-2000,2000,200,N,WP2,WaSOP 3,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210809_200um_1
EMO BON AAOT Wasop3 210809 10um_2,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 200-2000um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,12,2,2440,1.5,200-2000,2000,200,N,WP2,WaSOP 3,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210809_200um_2
EMO BON AAOT Wasop3 210809 10um_3,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 200-2000um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,12,3,2440,1.5,200-2000,2000,200,N,WP2,WaSOP 3,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210809_200um_3
EMO BON AAOT Wasop3 210809 10um_4,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 200-2000um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,12,4,2440,1.5,200-2000,2000,200,N,WP2,WaSOP 3,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210809_200um_4
EMO BON AAOT Wasop3 210809 10um_BLANK,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 200-2000um,32644,unidentified,metagenome,MilliQ water [ENVO:00003065],2021-08-09 00:00:00,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,12,blank,2440,1.5,200-2000,2000,200,N,WP2,WaSOP 3,NA,2021-08-09 00:00:00,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_AAOT_Wa_210809_200um_blank
